#numero_de_años	o	instantes																																					
29																																							
#numero_de_trimestres	por	año																																					
4																																							
#numero_de_años	para	conseguir	el	equilibrio																																			
12																																							
#numero_de_tallas																																							
37
# solo cambia el cv del pelaces,..... no pasa na

#Año	Est	B.rs	cv_r	nmB.rs	B.pel	cv_pel	nmB.pel	mph	cv_mph	CPUE	cv_cpue	Desemb	cv_des	nm																									
2015.1	1	120.7	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2015.2	2	0	0.3	30	242	0.3	30	0	0.3	0	0.3	38.1	0.01	30
2015.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	0.1	0.01	30
2015.4	4	0	0.3	30	0	0.3	30	354	0.3	0	0.3	18.1	0.01	30
2016.1	1	218.422	0.3	30	0	0.3	30	0	0.3	0	0.3	31.1	0.01	30
2016.2	2	0	0.3	30	502	0.3	30	0	0.3	0	0.3	21.1	0.01	30
2016.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2016.4	4	0	0.3	30	0	0.3	30	517	0.3	0	0.3	10.1	0.01	30
2017.1	1	84.188	0.3	30	0	0.3	30	0	0.3	0	0.3	13.1	0.01	30
2017.2	2	0	0.3	30	491	0.3	30	0	0.3	0	0.3	14.1	0.01	30
2017.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2017.4	4	0	0.3	30	0	0.3	30	443	0.3	0	0.3	24.1	0.01	30
2018.1	1	347.16	0.1	30	0	0.3	30	0	0.3	0	0.3	14.1	0.01	30
2018.2	2	0	0.3	30	745	0.3	30	0	0.3	0	0.3	20.1	0.01	30
2018.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	0.1	0.01	30
2018.4	4	0	0.3	30	0	0.3	30	108	0.3	0	0.3	21.1	0.01	30
																																							
																																							
																																							
#grupos_de_Tallas																																							
3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21			
																																							
#	Frecuencia	de	tallas	de	la	captura	(para las tallas 3-4.5 fue base inpesca, para el restante fue base ifop)																																
																																							
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
0	0	0	0	0	13.535	4.512	27.069	81.208	166.928	753.431	1989.6	4773.236	7877.193	11161.613	13065.493	11387.191	9528.426	7773.427	5675.549	3830.319	2553.546	1818.161	1087.287	942.917	694.781	397.018	171.439	76.697	40.604	4.512	4.512	0	0	0	0	0			
0	0	0	0	0	0	0	2.845	21.335	36.981	147.924	179.215	586.005	1092.358	2581.55	4824.582	7077.571	9036.136	8076.055	5146.032	2393.801	913.143	351.318	261.711	189.171	155.035	88.185	35.559	15.646	4.267	2.845	1.422	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	0	8.708	0	17.415	34.831	60.954	174.155	359.919	374.432	339.601	380.237	397.653	371.53	307.673	252.524	182.862	119.006	40.636	11.61	0	2.903	0	0	2.903	0	0	0			
0	0	0	0	0	0	0	17.867	59.556	119.111	136.978	154.845	369.245	494.312	404.978	482.401	595.556	1322.135	2024.892	2596.626	2834.848	2227.381	2161.87	1488.891	1357.869	1292.357	935.024	661.068	166.756	65.511	47.645	5.956	0	0	0	0	0			
0	0	0	0	0	0	0	0	97.119	631.273	2126.906	3807.064	5662.037	7565.569	9129.184	9245.727	8410.504	5759.156	3554.555	2661.06	4690.847	3991.59	4448.049	3904.183	4098.421	3962.454	2292.008	786.664	165.102	19.424	0	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	61.924	154.809	328.196	1114.628	2173.525	4489.474	5424.523	6793.039	7350.353	7579.471	6272.879	5566.948	5059.173	5610.294	6068.53	5424.523	3244.806	1541.902	365.35	117.655	6.192	18.577	0	0	0	0	0			
0	0	0	0	0	0	9.203	38.347	133.448	234.685	449.43	694.852	977.088	1211.773	1426.518	1512.416	1429.586	1415.781	1076.791	886.589	572.141	348.193	378.871	444.828	622.76	760.81	590.548	269.965	70.559	10.737	1.534	0	0	0	0	0	0			
0	0	0	0	0.521	0	3.646	6.511	10.158	15.367	29.692	45.84	56.779	81.001	97.93	157.574	212.529	235.97	213.831	195.079	143.509	120.329	97.409	96.107	111.213	145.593	122.933	61.988	17.19	2.605	0.26	0	0	0	0	0	0			
0	0	0	0	0	13.036	104.29	534.488	1225.411	2972.274	4093.394	6374.745	7000.487	10129.196	9751.143	11693.55	14509.388	14926.55	14118.3	15969.453	13883.647	14352.953	10468.139	6218.309	3715.342	1994.552	1499.173	1447.028	573.597	195.544	13.036	0	0	0	0	0	0			
0	0	0	0	0	0	0	9.692	96.921	348.916	1424.739	2830.094	5185.275	8529.051	10147.633	13724.019	13074.648	14334.621	14586.616	15836.897	16747.955	17881.931	16156.737	14596.308	9769.641	5815.262	2684.713	1502.276	823.829	319.839	19.384	9.692	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	27.777	138.887	354.934	1015.419	1922.815	3120.331	4003.036	4533.894	4033.9	3564.77	4086.369	4848.705	6246.835	7546.202	8228.292	7120.281	4641.917	2089.48	1018.506	351.847	120.369	27.777	9.259	0	0	0	0	0			
0	0	0	0.003	0	0	0	0	1.477	1.477	17.724	50.219	96.007	75.328	115.208	233.37	330.854	611.489	881.785	1369.203	1748.799	2339.61	3072.215	3143.112	2423.8	1533.153	635.121	332.331	100.438	31.018	10.339	1.477	0	0	0	0	0			
0	0	0	0	0	0	0	0	26.891	67.228	242.021	497.488	1747.933	3388.3	4477.396	7153.078	8107.718	12262.419	14884.318	19200.367	20195.344	20020.55	22682.786	27603.888	31059.417	35173.781	24067.686	13405.298	3737.886	860.521	107.565	0	13.446	0	0	0	0			
0	0	0	0	0	0	0	0	0	84.539	169.078	140.899	535.415	479.056	1366.718	2662.986	4917.366	7678.981	9257.047	12864.054	19486.295	20458.496	22783.325	20303.508	19317.216	21261.619	19923.081	12314.549	3452.019	887.662	140.899	28.18	0	0	0	0	0			
0	0	0	0	0	0	0	4.72	4.72	4.72	4.72	14.159	99.112	207.663	410.607	670.186	854.251	925.045	1316.773	1835.931	2364.528	2808.172	3077.19	3634.105	3973.918	3992.796	3020.555	1736.819	627.709	287.897	42.477	0	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	3.333	16.667	6.667	13.333	20	43.334	146.668	266.67	430.005	836.676	1303.347	2583.361	3476.704	5243.389	5463.392	5320.057	5130.055	4083.377	2380.025	760.008	183.335	36.667	3.333	3.333	0	0	0	0			
0	0	0	0	0	0	0	0	22.421	112.106	280.264	493.265	1614.321	2701.746	4753.279	6838.443	9730.769	14024.414	17376.373	20593.804	21154.332	19158.852	18721.64	20033.276	22320.231	22981.654	21087.069	15739.63	7869.815	2993.22	650.213	134.527	0	0	0	0	0			
0	0	0	0	0	0	0	0	0	0	24.189	96.757	217.703	653.109	1233.65	2346.354	4716.896	7160.007	9603.117	13425.013	17464.611	21794.48	24721.375	24914.889	23294.212	20270.56	17779.071	14731.23	9869.199	4837.842	2056.083	919.19	411.217	24.189	0	0	0			
0	0	0	0	0	30.041	0	0	0	0	15.02	97.632	405.55	961.304	1817.465	2020.24	2170.444	1930.118	2035.261	2140.403	2681.137	2943.993	4874.111	5595.089	5970.598	5001.784	3785.134	3094.197	2433.3	2868.891	2500.892	2207.995	1006.365	443.101	0	0	0			
